"keyName","value","prob","cont_prob"
"arcane meaningless",1,4.00448502322601e-05,25.25
"meaningless regulation",1,4.00448502322601e-05,25.25
"mere suspicion",1,4.00448502322601e-05,25.25
"stares just",1,4.00448502322601e-05,25.25
"family's life",1,4.00448502322601e-05,25.25
"josef strauss",1,4.00448502322601e-05,25.25
"strauss delirien",1,4.00448502322601e-05,25.25
"delirien waltz",1,4.00448502322601e-05,25.25
"spare time",1,4.00448502322601e-05,25.25
"mallory castle",1,4.00448502322601e-05,25.25
"curtains closed",1,4.00448502322601e-05,25.25
"dressed appropriately",1,4.00448502322601e-05,25.25
"perceptual experience",1,4.00448502322601e-05,25.25
"pulp fiction",1,4.00448502322601e-05,25.25
"ving rhames",1,4.00448502322601e-05,25.25
"rhames bruce",1,4.00448502322601e-05,25.25
"pulp fiction's",1,4.00448502322601e-05,25.25
"fiction's indie",1,4.00448502322601e-05,25.25
"thriller properly",1,4.00448502322601e-05,25.25
"spoofs aside",1,4.00448502322601e-05,25.25
"flick namely",1,4.00448502322601e-05,25.25
"namely shit",1,4.00448502322601e-05,25.25
"lyla garrity",1,4.00448502322601e-05,25.25
"garrity minka",1,4.00448502322601e-05,25.25
"minka kelly",1,4.00448502322601e-05,25.25
"wrongness overcame",1,4.00448502322601e-05,25.25
"zinkhan dumped",1,4.00448502322601e-05,25.25
"jeep passport",1,4.00448502322601e-05,25.25
"passport inside",1,4.00448502322601e-05,25.25
"doll instead",1,4.00448502322601e-05,25.25
"hispanic dolls",1,4.00448502322601e-05,25.25
"organised humans",1,4.00448502322601e-05,25.25
"breasts cooked",1,4.00448502322601e-05,25.25
"hardcover copy",1,4.00448502322601e-05,25.25
"brightly woven",1,4.00448502322601e-05,25.25
"cinemark holdings",1,4.00448502322601e-05,25.25
"holdings inc",1,4.00448502322601e-05,25.25
"reel classics",1,4.00448502322601e-05,25.25
"classics series",1,4.00448502322601e-05,25.25
"cinemark web",1,4.00448502322601e-05,25.25
"classics box",1,4.00448502322601e-05,25.25
"cinemark theater",1,4.00448502322601e-05,25.25
"extraneous details",1,4.00448502322601e-05,25.25
"disc includes",1,4.00448502322601e-05,25.25
"archival interviews",1,4.00448502322601e-05,25.25
"lumet also",1,4.00448502322601e-05,25.25
"lawrenceburg distillers",1,4.00448502322601e-05,25.25
"distillers indiana",1,4.00448502322601e-05,25.25
"lawrenceburg indiana",1,4.00448502322601e-05,25.25
"latter's performance",1,4.00448502322601e-05,25.25
"gervais analyzed",1,4.00448502322601e-05,25.25
"analyzed peter",1,4.00448502322601e-05,25.25
"restraints placed",1,4.00448502322601e-05,25.25
"generates will",1,4.00448502322601e-05,25.25
"zaman reports",1,4.00448502322601e-05,25.25
"turkish daily",1,4.00448502322601e-05,25.25
"gospels matthew",1,4.00448502322601e-05,25.25
"paticular order",1,4.00448502322601e-05,25.25
"prayed part",1,4.00448502322601e-05,25.25
"cf luke",1,4.00448502322601e-05,25.25
"judikins stampers",1,4.00448502322601e-05,25.25
"stampers anonymous",1,4.00448502322601e-05,25.25
"beggar position",1,4.00448502322601e-05,25.25
"spittle licking",1,4.00448502322601e-05,25.25
"licking suits",1,4.00448502322601e-05,25.25
